nombre,sintoma,causa,peso
hipertiroidismo,taquicardia,exceso tiroideo,0.9
hipertiroidismo,pérdida peso,hiperfunción tiroidea,0.8
diabetes,poliuria,hiperglucemia crónica,0.95
diabetes,polidipsia,glucosa elevada,0.9
trastorno bipolar,euforia,alteración química,0.7
trastorno bipolar,irritabilidad,desequilibrio emocional,0.65
duelo,insomnio,pérdida emocional,0.6
duelo,fatiga,estado anímico bajo,0.55
trastorno adaptativo,dificultad sueño,estrés psicosocial,0.65
trastorno adaptativo,desánimo,cambios vitales,0.6
somatización,mareos,ansiedad crónica,0.7
somatización,fatiga,estrés psicológico,0.65
dengue,fiebre,mordedura mosquito,0.95
dengue,dolor cabeza,infección viral,0.9
dengue,dolor muscular,infección dengue,0.85
dengue,dolor articular,infección viral,0.8
dengue,náuseas,infección viral,0.75
dengue,vómitos,infección viral,0.7
dengue,sarpullido,inmunidad reactiva,0.65
dengue,fatiga,infección viral,0.6
dengue,sangrado,mala coagulación,0.7
dengue,hemorragia,mala coagulación,0.75
dengue,hipotensión,choque dengue,0.8
dengue,mareos,hipotensión,0.65
dengue,dolor retroocular,infección viral,0.85
dengue,fiebre alta,mordedura mosquito,0.9
dengue,cefalea,dengue grave,0.85
dengue,dolor abdominal,dengue severo,0.7
dengue,vómitos repetidos,dengue severo,0.75
dengue,trombocitopenia,infección viral,0.9
dengue,shock,complicación grave,0.95
dengue,edema,inflamación vascular,0.65
gripe,fiebre,infección viral,0.9
gripe,tos,secreción respiratoria,0.85
gripe,dolor garganta,infección viral,0.8
gripe,dolor muscular,infección viral,0.75
gripe,cansancio,infección viral,0.7
gripe,dolor cabeza,infección viral,0.75
gripe,congestión nasal,infección viral,0.7
gripe,escalofríos,infección viral,0.65
gripe,dificultad respiratoria,infección grave,0.6
gripe,malestar general,infección viral,0.7
hipertensión arterial,cabeza pesada,alta presión sanguínea,0.8
hipertensión arterial,mareos,hipertensión,0.7
hipertensión arterial,zumbido oídos,hipertensión,0.65
hipertensión arterial,visión borrosa,daño vascular,0.7
hipertensión arterial,sangrado nasal,ruptura vasos,0.6
hipertensión arterial,dificultad respiratoria,complicación cardíaca,0.6
hipertensión arterial,fatiga,estrés cardíaco,0.65
asma,dificultad respiratoria,inflamación vías respiratorias,0.95
asma,tos seca,hiperreactividad bronquial,0.85
asma,sibilancias,estrechamiento bronquial,0.9
asma,opresión pecho,broncoespasmo,0.9
asma,fatiga,hipoxia,0.7
asma,ansiedad,crisis asmática,0.6
asma,cianosis,hipoxia severa,0.6
diabetes tipo 2,aumento sed,disfunción insulina,0.9
diabetes tipo 2,aumento orina,hiperglucemia,0.9
diabetes tipo 2,fatiga,resistencia insulina,0.8
diabetes tipo 2,visión borrosa,hiperglucemia,0.75
diabetes tipo 2,pérdida peso,metabolismo alterado,0.7
diabetes tipo 2,infecciones recurrentes,inmunidad comprometida,0.65
diabetes tipo 2,hormigueo extremidades,neuropatía,0.7
diabetes tipo 2,heridas lentas en curar,hiperglucemia,0.7
infección respiratoria aguda,tos,infección bacteriana/viral,0.9
infección respiratoria aguda,fiebre,infección bacteriana/viral,0.85
infección respiratoria aguda,dificultad respiratoria,obstrucción vías aéreas,0.8
infección respiratoria aguda,dolor garganta,infección viral,0.7
infección respiratoria aguda,escalofríos,infección viral,0.65
infección respiratoria aguda,cansancio,infección,0.6
tuberculosis,tos persistente,infección bacteriana,0.95
tuberculosis,fiebre,infección bacteriana,0.85
tuberculosis,pérdida peso,infección crónica,0.8
tuberculosis,sudoración nocturna,infección bacteriana,0.75
tuberculosis,fatiga,infección crónica,0.7
tuberculosis,dolor torácico,infección pulmonar,0.65
tuberculosis,hemoptisis,daño pulmonar,0.7
diarrea infecciosa,dolor abdominal,infección gastrointestinal,0.9
diarrea infecciosa,dolor cólico,infección gastrointestinal,0.85
diarrea infecciosa,desequilibrio electrolítico,deshidratación,0.8
diarrea infecciosa,vómitos,infección gastrointestinal,0.75
diarrea infecciosa,fiebre,infección bacteriana/viral,0.7
diarrea infecciosa,deshidratación,perdida líquidos,0.9
VIH/SIDA,fiebre,infección viral,0.8
VIH/SIDA,pérdida peso,inmunosupresión,0.85
VIH/SIDA,fatiga,infección crónica,0.75
VIH/SIDA,diarrea crónica,inmunodeficiencia,0.7
VIH/SIDA,infecciones oportunistas,inmunosupresión,0.9
VIH/SIDA,ganglios inflamados,infección viral,0.65
VIH/SIDA,neumonía,infección pulmonar,0.7
hepatitis B,fatiga,infección viral,0.75
hepatitis B,ictericia,infección hepática,0.9
hepatitis B,dolor abdominal,inflamación hepática,0.7
hepatitis B,pérdida apetito,infección viral,0.65
hepatitis B,náuseas,infección hepática,0.6
hepatitis B,fiebre,infección viral,0.7
hepatitis B,orina oscura,alteración hepática,0.7
EPOC,tos crónica,exposición humo o contaminantes,0.9
EPOC,dificultad respiratoria,daño pulmonar,0.95
EPOC,esputo,irritación vías respiratorias,0.85
EPOC,sibilancias,inflamación bronquial,0.8
EPOC,fatiga,hipoxia,0.7
EPOC,infecciones respiratorias frecuentes,daño pulmonar,0.65
neumonía,fiebre,infección pulmonar,0.9
neumonía,tos productiva,infección bacteriana,0.85
neumonía,dificultad respiratoria,infección pulmonar,0.9
neumonía,dolor torácico,infección pulmonar,0.7
neumonía,escalofríos,infección bacteriana,0.65
neumonía,fatiga,infección pulmonar,0.7
infección urinaria,dolor al orinar,infección bacteriana,0.9
infección urinaria,aumento frecuencia micción,infección,0.85
infección urinaria,orina turbia,infección bacteriana,0.8
infección urinaria,dolor abdominal,infección urinaria,0.7
infección urinaria,fiebre,infección bacteriana,0.65
infección urinaria,malestar general,infección,0.6
diarreica aguda,dolor abdominal,infección gastrointestinal,0.9
diarreica aguda,desequilibrio electrolítico,deshidratación,0.85
diarreica aguda,vómitos,infección viral/bacteriana,0.8
diarreica aguda,fiebre,infección bacteriana,0.75
diarreica aguda,deshidratación,pérdida líquidos,0.9
diarreica aguda,malestar general,infección,0.7
chikungunya,fiebre,mordedura mosquito,0.95
chikungunya,dolor articular,infección viral,0.9
chikungunya,dolor muscular,infección viral,0.85
chikungunya,cefalea,infección viral,0.75
chikungunya,erupción cutánea,inmunidad reactiva,0.7
chikungunya,fatiga,infección viral,0.65
leptospirosis,fiebre,infección bacteriana,0.9
leptospirosis,dolor cabeza,infección bacteriana,0.8
leptospirosis,dolor muscular,infección bacteriana,0.85
leptospirosis,náuseas,infección bacteriana,0.7
leptospirosis,ictericia,daño hepático,0.75
leptospirosis,sangrado,mala coagulación,0.7
renal crónica,fatiga,disfunción renal,0.8
renal crónica,hinchazón,inflamación y retención líquidos,0.75
renal crónica,pérdida apetito,alteración metabólica,0.7
renal crónica,náuseas,disfunción renal,0.65
renal crónica,cambios micción,disfunción renal,0.7
renal crónica,presión arterial alta,daño renal,0.8
anemia ferropénica,fatiga,deficiencia hierro,0.9
anemia ferropénica,palidez,disminución hemoglobina,0.85
anemia ferropénica,mareos,disminución oxígeno,0.8
anemia ferropénica,dificultad respiratoria,hipoxia,0.75
anemia ferropénica,palpitaciones,hipoxia,0.7
anemia ferropénica,dolor cabeza,hipoxia,0.65
malaria,fiebre,mordedura mosquito infectado,0.95
malaria,escalofríos,infección parasitaria,0.9
malaria,sudoración,infección parasitaria,0.85
malaria,dolor cabeza,infección parasitaria,0.8
malaria,fatiga,infección parasitaria,0.75
malaria,náuseas,infección parasitaria,0.7
malaria,vómitos,infección parasitaria,0.65
malaria,anemia,destrucción glóbulos rojos,0.7
hepatitis C,fatiga,infección hepática,0.8
hepatitis C,ictericia,infección viral,0.9
hepatitis C,dolor abdominal,inflamación hepática,0.7
hepatitis C,pérdida apetito,infección viral,0.65
hepatitis C,náuseas,infección hepática,0.6
hepatitis C,orina oscura,disfunción hepática,0.7
hepatitis C,fiebre,infección viral,0.7
zika,fiebre,infección viral,0.85
zika,erupción cutánea,infección viral,0.8
zika,dolor articular,infección viral,0.75
zika,dolor muscular,infección viral,0.7
zika,conjuntivitis,infección viral,0.65
zika,fatiga,infección viral,0.6
chagas,fiebre,infección parasitaria,0.8
chagas,hinchazón en sitio picadura,infección parasitaria,0.75
chagas,fatiga,infección crónica,0.7
chagas,dolor cabeza,infección parasitaria,0.65
chagas,dolor abdominal,infección crónica,0.6
chagas,arritmias,daño cardíaco,0.7
chagas,insuficiencia cardíaca,daño cardíaco,0.75
sífilis,úlceras genitales,infección bacteriana,0.9
sífilis,erupción cutánea,infección bacteriana,0.8
sífilis,fiebre,infección bacteriana,0.7
sífilis,ganglios inflamados,infección bacteriana,0.75
sífilis,cansancio,infección crónica,0.65
sífilis,pérdida peso,infección crónica,0.6
neumonía bacteriana,fiebre alta,infección bacteriana,0.9
neumonía bacteriana,tos productiva,infección pulmonar,0.85
neumonía bacteriana,dificultad respiratoria,infección pulmonar,0.9
neumonía bacteriana,dolor torácico,infección pulmonar,0.75
neumonía bacteriana,escalofríos,infección bacteriana,0.7
neumonía bacteriana,fatiga,infección pulmonar,0.7
gastroenteritis viral,dolor abdominal,infección viral,0.9
gastroenteritis viral,diarea,infección viral,0.95
gastroenteritis viral,vómitos,infección viral,0.85
gastroenteritis viral,fiebre,infección viral,0.75
gastroenteritis viral,deshidratación,pérdida líquidos,0.8
gastroenteritis viral,mareo,infección viral,0.65
helicobacter pylori,dolor abdominal,infección bacteriana,0.9
helicobacter pylori,ardor estomacal,infección bacteriana,0.85
helicobacter pylori,náuseas,infección bacteriana,0.75
helicobacter pylori,pérdida apetito,infección bacteriana,0.7
helicobacter pylori,eructos,infección bacteriana,0.65
helicobacter pylori,malestar general,infección bacteriana,0.6
otitis,dolor oído,infección bacteriana/viral,0.9
otitis,fiebre,infección,0.8
otitis,pérdida audición,inflamación oído medio,0.7
otitis,mareos,infección oído,0.65
otitis,secreción oído,infección,0.7
artritis reumatoide,dolor articular,enfermedad autoinmune,0.9
artritis reumatoide,hinchazón articular,inflamación crónica,0.85
artritis reumatoide,rigidez articular,enfermedad autoinmune,0.8
artritis reumatoide,fatiga,inflamación sistémica,0.7
artritis reumatoide,fiebre,inflamación,0.65
bronquitis crónica,tos persistente,exposición humo y contaminantes,0.9
bronquitis crónica,esputo frecuente,irritación vías respiratorias,0.85
bronquitis crónica,dificultad respiratoria,obstrucción bronquial,0.8
bronquitis crónica,sibilancias,inflamación vías respiratorias,0.75
bronquitis crónica,fatiga,hipoxia,0.7
enfermedad arterial coronaria,dolor torácico,obstrucción arterias coronarias,0.9
enfermedad arterial coronaria,dificultad respiratoria,isquemia cardíaca,0.85
enfermedad arterial coronaria,fatiga,reducción flujo sanguíneo,0.7
enfermedad arterial coronaria,sudoración fría,angina,0.65
enfermedad arterial coronaria,náuseas,isquemia,0.6
hipotiroidismo,fatiga,disfunción tiroidea,0.9
hipotiroidismo,aumento peso,metabolismo lento,0.85
hipotiroidismo,intolerancia frío,alteración hormonal,0.8
hipotiroidismo,constipación,metabolismo lento,0.75
hipotiroidismo,depresión,desequilibrio hormonal,0.7
hipotiroidismo,piel seca,alteración tiroidea,0.65
depresión,tristeza persistente,desequilibrio químico cerebral,0.9
depresión,fatiga,alteración neurotransmisores,0.85
depresión,pérdida interés,alteración emocional,0.9
depresión,cambios sueño,alteración emocional,0.8
depresión,ansiedad,trastorno mental,0.75
depresión,problemas concentración,desequilibrio emocional,0.7
enfermedad pulmonar intersticial,dificultad respiratoria,daño tejido pulmonar,0.9
enfermedad pulmonar intersticial,tos seca,inflamación crónica,0.85
enfermedad pulmonar intersticial,fatiga,hipoxia,0.75
enfermedad pulmonar intersticial,pérdida peso,condición crónica,0.7
enfermedad pulmonar intersticial,dolor pecho,inflamación,0.65
parkinson,temblor,involuntario,0.9
parkinson,rigidez muscular,degeneración neuronal,0.85
parkinson,lentitud movimientos,disfunción motora,0.9
parkinson,inestabilidad postura,alteración motora,0.8
parkinson,fatiga,desgaste neuronal,0.7
parkinson,dificultad habla,alteración motora,0.65
insuficiencia cardíaca,dificultad respiratoria,disfunción cardíaca,0.9
insuficiencia cardíaca,edema periférico,retención líquidos,0.85
insuficiencia cardíaca,fatiga,reducción gasto cardíaco,0.8
insuficiencia cardíaca,tos crónica,congestión pulmonar,0.7
insuficiencia cardíaca,aumento peso,retención líquidos,0.65
cáncer de pulmón,tos persistente,crecimiento tumoral,0.9
cáncer de pulmón,dolor torácico,invasión tumoral,0.85
cáncer de pulmón,disnea,obstrucción vías aéreas,0.8
cáncer de pulmón,pérdida peso,metástasis,0.75
cáncer de pulmón,hemoptisis,sangrado tumoral,0.7
hipertensión pulmonar,dificultad respiratoria,alta presión arterial pulmonar,0.9
hipertensión pulmonar,fatiga,disfunción cardíaca,0.8
hipertensión pulmonar,edema periférico,retención líquidos,0.7
hipertensión pulmonar,dolor pecho,estrés cardíaco,0.65
hipertensión pulmonar,mareos,baja oxigenación,0.6
enfermedad hepática crónica,ictericia,daño hepático,0.9
enfermedad hepática crónica,fatiga,insuficiencia hepática,0.85
enfermedad hepática crónica,ascitis,retención líquidos,0.8
enfermedad hepática crónica,pérdida apetito,disfunción hepática,0.7
enfermedad hepática crónica,náuseas,insuficiencia hepática,0.65
osteoporosis,fracturas frecuentes,disminución masa ósea,0.9
osteoporosis,dolor óseo,debilitamiento huesos,0.8
osteoporosis,pérdida altura,colapso vertebral,0.7
osteoporosis,postura encorvada,daño óseo,0.65
osteoporosis,fatiga,debido a dolor crónico,0.6
eczema,erupción cutánea,reacción inflamatoria,0.9
eczema,picazón,inmunidad alterada,0.85
eczema,piel seca,inflamación crónica,0.8
eczema,rojeces,inflamación,0.75
eczema,lesiones costrosas,rascado frecuente,0.7
alzheimer,pérdida memoria,degeneración neuronal,1.2
alzheimer,confusión,atrofia cerebral,1.1
alzheimer,dificultad lenguaje,daño cerebral,1.0
alzheimer,cambios comportamiento,alteración cerebral,1.0
alzheimer,pérdida habilidades cognitivas,degeneración progresiva,1.1
cáncer de mama,masa palpable,crecimiento tumoral,1.2
cáncer de mama,dolor mamario,invasión tumoral,1.0
cáncer de mama,secreción mamaria,infección o tumor,0.8
cáncer de mama,cambios piel,alteración tumoral,0.9
cáncer de mama,ganglios inflamados,metástasis,1.0
crohn,dolor abdominal,enfermedad inflamatoria intestinal,1.1
crohn,diarrea crónica,inflamación intestinal,1.0
crohn,pérdida peso,malabsorción,0.9
crohn,fatiga,inflamación sistémica,0.85
crohn,fiebre,inflamación intestinal,0.8
artritis psoriásica,dolor articular,enfermedad autoinmune,1.0
artritis psoriásica,hinchazón articular,inflamación crónica,0.9
artritis psoriásica,lesiones cutáneas,psoriasis,1.0
artritis psoriásica,rigidez articular,inflamación,0.85
artritis psoriásica,fatiga,enfermedad crónica,0.75
lupus,fatiga,enfermedad autoinmune,1.0
lupus,erupción malar,inmunidad alterada,1.1
lupus,artritis,inflamación sistémica,1.0
lupus,fiebre,inflamación,0.85
lupus,pérdida peso,enfermedad crónica,0.8
cáncer de próstata,dificultad micción,crecimiento tumoral,1.1
cáncer de próstata,dolor pélvico,invasión tumoral,1.0
cáncer de próstata,hematuria,infección o tumor,0.8
cáncer de próstata,pérdida peso,metástasis,0.9
cáncer de próstata,disfunción eréctil,invasión nerviosa,0.7
esclerosis múltiple,visión borrosa,desmielinización neuronal,1.1
esclerosis múltiple,debilidad muscular,daño nervioso,1.0
esclerosis múltiple,pérdida coordinación,disfunción motora,0.9
esclerosis múltiple,fatiga,desgaste neuronal,0.85
esclerosis múltiple,pérdida sensibilidad,alteración nerviosa,0.8
insuficiencia renal crónica,fatiga,disfunción renal avanzada,1.0
insuficiencia renal crónica,edema,retención líquidos,0.9
insuficiencia renal crónica,náuseas,acumulación toxinas,0.85
insuficiencia renal crónica,pérdida apetito,insuficiencia renal,0.8
insuficiencia renal crónica,cambios micción,alteración renal,0.8
enfermedad celíaca,dolor abdominal,reacción inmunitaria al gluten,1.0
enfermedad celíaca,diarrea crónica,daño intestinal,0.9
enfermedad celíaca,pérdida peso,mala absorción,0.85
enfermedad celíaca,fatiga,deficiencia nutricional,0.8
enfermedad celíaca,anemia,deficiencia hierro,0.75
psoriasis,placas escamosas,enfermedad autoinmune,1.1
psoriasis,picazón,inflamación cutánea,0.9
psoriasis,enrojecimiento,inmunidad alterada,0.85
psoriasis,sequedad piel,daño cutáneo,0.8
psoriasis,engrosamiento piel,inflamación crónica,0.75
hiperglucemia,sed excesiva,deficiencia insulina,1.1
hiperglucemia,aumento micción,alteración metabolismo,1.0
hiperglucemia,fatiga,metabolismo alterado,0.9
hiperglucemia,visión borrosa,hiperglucemia prolongada,0.85
hiperglucemia,pérdida peso,alteración insulina,0.8
hipoglucemia,sudoración excesiva,baja glucosa sanguínea,1.1
hipoglucemia,mareo,deficiencia glucosa,1.0
hipoglucemia,confusión,hipoglucemia severa,0.9
hipoglucemia,temblor,alteración neurológica,0.85
hipoglucemia,fatiga,baja glucosa,0.8
EPOC,tos crónica,exposición humo/contaminantes,1.2
EPOC,dificultad respiratoria,daño pulmonar severo,1.3
EPOC,esputo,irritación bronquial,1.0
EPOC,sibilancias,inflamación vías respiratorias,0.9
EPOC,fatiga,hipoxia,0.8
anemia falciforme,dolor óseo,obstrucción vascular,1.1
anemia falciforme,fatiga,anemia crónica,1.0
anemia falciforme,ictericia,destrucción glóbulos rojos,0.9
anemia falciforme,edema,hipoxia tisular,0.8
anemia falciforme,pérdida peso,enfermedad crónica,0.75
dengue grave,shock,fallo circulatorio,1.3
dengue grave,hemorragia severa,mala coagulación,1.2
dengue grave,fiebre alta,infección viral,1.1
dengue grave,trombocitopenia,infección viral,1.15
dengue grave,dolor abdominal intenso,infección grave,1.0
hipotiroidismo severo,fatiga extrema,disfunción tiroidea,1.2
hipotiroidismo severo,bradicardia,alteración hormonal,1.1
hipotiroidismo severo,piel seca,alteración tiroidea,1.0
hipotiroidismo severo,intolerancia al frío,metabolismo lento,0.95
hipotiroidismo severo,ganancia peso,disfunción tiroidea,0.9
covid-19,fiebre,infección viral,1.1
covid-19,tos seca,infección respiratoria,1.0
covid-19,dificultad respiratoria,infección pulmonar,1.2
covid-19,fatiga,infección sistémica,0.9
covid-19,pérdida gusto y olfato,infección viral,1.0
covid-19,dolor de cabeza,infección viral,0.85
covid-19,mialgias,infección viral,0.8
covid-19,congestión nasal,infección viral,0.7
covid-19,dolor de garganta,infección viral,0.75
covid-19,dolor torácico,infección pulmonar,1.0
covid-19,mareos,infección sistémica,0.65
covid-19,confusión,hipoxia cerebral,1.1
covid-19,náuseas,infección sistémica,0.7
covid-19,vómitos,infección sistémica,0.7
covid-19,diarrea,infección gastrointestinal,0.75
covid-19,taquicardia,estrés sistémico,0.8
covid-19,erupciones cutáneas,reacción inflamatoria,0.65
covid-19,fiebre persistente,infección prolongada,1.05
covid-19,arritmias,daño cardíaco,1.0
covid-19,insuficiencia respiratoria,daño pulmonar severo,1.3
cáncer de colon,cambio hábito intestinal,crecimiento tumoral,1.1
cáncer de colon,sangrado rectal,lesión tumoral,1.0
cáncer de colon,dolor abdominal,invasión tumoral,0.9
cáncer de colon,pérdida peso,metástasis,0.85
cáncer de colon,fatiga,anemia,0.8
dengue,fiebre,mordedura mosquito,1.0
dengue,dolor cabeza,infección viral,0.95
dengue,dolor muscular,infección dengue,0.9
dengue,dolor articular,infección viral,0.85
dengue,náuseas,infección viral,0.8
dengue,vómitos,infección viral,0.75
dengue,sarpullido,inmunidad reactiva,0.7
dengue,fatiga,infección viral,0.65
dengue,sangrado,mala coagulación,0.75
dengue,hemorragia,mala coagulación,0.8
dengue,hipotensión,choque dengue,0.85
dengue,mareos,hipotensión,0.7
dengue,dolor retroocular,infección viral,0.9
dengue,fiebre alta,mordedura mosquito,1.0
dengue,cefalea,dengue grave,0.9
dengue,dolor abdominal,dengue severo,0.75
dengue,vómitos repetidos,dengue severo,0.8
dengue,trombocitopenia,infección viral,0.95
dengue,shock,complicación grave,1.0
dengue,edema,inflamación vascular,0.7
vph,verrugas genitales,infección viral,1.1
vph,lesiones anogenitales,infección viral,1.0
vph,dolor durante relaciones,infección,0.75
vph,sangrado anormal,infección crónica,0.7
vph,pérdida peso,infección crónica,0.6
tuberculosis pulmonar,tos crónica,infección bacteriana,1.2
tuberculosis pulmonar,pérdida peso,infección crónica,1.0
tuberculosis pulmonar,fiebre,infección bacteriana,0.9
tuberculosis pulmonar,sudoración nocturna,infección crónica,0.85
tuberculosis pulmonar,dolor torácico,infección pulmonar,0.8