consulta                                                                                     , diagnostico_esperado    , diagnostico_generado                                   , puntuacion, entidades_extraidas                                       , sintomas_reales                                                   , tiempo_total_seg, cantidad_preguntas
"Tengo fiebre alta, dolor de cabeza y escalofríos desde ayer."                               , Gripe                   , Infección viral                                        ,          0, "fiebre, dolor de cabeza, escalofríos"                    , "['fiebre', 'dolor de cabeza', 'escalofríos']"                    , 14.2535352055302,                  3
"Tengo fiebre alta, dolor de cabeza y escalofríos desde ayer."                               , Gripe                   , Infección viral                                        ,          0, "fiebre, dolor de cabeza, escalofríos"                    , "['fiebre', 'dolor de cabeza', 'escalofríos']"                    , 10.8025035325025,                  2
"Tengo fiebre alta, dolor de cabeza y escalofríos desde ayer."                               , Gripe                   , Infección viral                                        ,          0, "fiebre, dolor de cabeza, escalofríos"                    , "['fiebre', 'dolor de cabeza', 'escalofríos']"                    ,  6.513498957    ,                  1
"Tengo fiebre alta, dolor de cabeza y escalofríos desde ayer."                               , Gripe                   , Infección viral                                        ,          0, "fiebre, dolor de cabeza, escalofríos"                    , "['fiebre', 'dolor de cabeza', 'escalofríos']"                    ,  3.119324345324 ,                  0
"Desde hace unos días tengo dolor en el pecho, dificultad para respirar y tos con flema."    , Neumonía                , Neumonía bacteriana                                    ,          0, "dolor torácico, dificultad respiratoria, tos"            , "['dolor torácico', 'dificultad respiratoria', 'tos productiva']" , 15.310957423042 ,                  3
"Desde hace unos días tengo dolor en el pecho, dificultad para respirar y tos con flema."    , Neumonía                , Neumonía bacteriana                                    ,          3, "dolor torácico, dificultad respiratoria, tos"            , "['dolor torácico', 'dificultad respiratoria', 'tos productiva']" , 11.793649013123 ,                  2
"Desde hace unos días tengo dolor en el pecho, dificultad para respirar y tos con flema."    , Neumonía                , Neumonía bacteriana                                    ,          5, "dolor torácico, dificultad respiratoria, tos"            , "['dolor torácico', 'dificultad respiratoria', 'tos productiva']" ,  7.4329775500982,                  1
"Desde hace unos días tengo dolor en el pecho, dificultad para respirar y tos con flema."    , Neumonía                , Síntomas compatibles con Neumonía                      ,          3, "dolor torácico, dificultad respiratoria, tos"            , "['dolor torácico', 'dificultad respiratoria', 'tos productiva']" ,  4.292497204283 ,                  0
"Me pican los ojos, tengo estornudos frecuentes y la nariz tapada."                          , Rinitis alérgica        , Síntomas compatibles con Rinitis alérgica              ,          0, "prurito ocular, estornudos, congestión nasal"            , "['prurito ocular', 'estornudos', 'congestión nasal']"            ,  9.8398         ,                  2
"Me pican los ojos, tengo estornudos frecuentes y la nariz tapada."                          , Rinitis alérgica        , Rinitis alérgica o condición similar                   ,          5, "prurito ocular, estornudos, congestión nasal"            , "['prurito ocular', 'estornudos', 'congestión nasal']"            ,  5.30943504374  ,                  1
"Me pican los ojos, tengo estornudos frecuentes y la nariz tapada."                          , Rinitis alérgica        , Puede tratarse de Rinitis alérgica leve                ,          4, "prurito ocular, estornudos, congestión nasal"            , "['prurito ocular', 'estornudos', 'congestión nasal']"            ,  2.619047257294 ,                  0
"Tengo sed constante, orino con mucha frecuencia y he bajado de peso sin razón."             , Diabetes mellitus tipo 2, Posiblemente Diabetes mellitus tipo 2                  ,          0, "polidipsia, poliuria, pérdida de peso"                   , "['poliuria', 'polidipsia', 'pérdida de peso inexplicada']"       , 13.7789456792   ,                  3
"Tengo sed constante, orino con mucha frecuencia y he bajado de peso sin razón."             , Diabetes mellitus tipo 2, Diabetes mellitus tipo 2 o condición similar           ,          3, "polidipsia, poliuria, pérdida de peso"                   , "['poliuria', 'polidipsia', 'pérdida de peso inexplicada']"       ,  9.876900018923 ,                  2
"Tengo sed constante, orino con mucha frecuencia y he bajado de peso sin razón."             , Diabetes mellitus tipo 2, Síntomas compatibles con Diabetes mellitus tipo 2      ,          2, "polidipsia, poliuria, pérdida de peso"                   , "['poliuria', 'polidipsia', 'pérdida de peso inexplicada']"       ,  6.4234         ,                  1
"Tengo sed constante, orino con mucha frecuencia y he bajado de peso sin razón."             , Diabetes mellitus tipo 2, Puede tratarse de Diabetes mellitus tipo 2 leve        ,          5, "polidipsia, poliuria, pérdida de peso"                   , "['poliuria', 'polidipsia', 'pérdida de peso inexplicada']"       ,  3.13204823     ,                  0
Me duele mucho el oído derecho y he notado algo de pus saliendo.                             , Otitis media aguda      , Otitis media aguda o condición similar                 ,          5, "otalgia, secreción purulenta, oído tapado"               , "['otalgia', 'secreción purulenta', 'sensación de oído tapado']"  , 12.409889924    ,                  3
Me duele mucho el oído derecho y he notado algo de pus saliendo.                             , Otitis media aguda      , Posiblemente Otitis media aguda                        ,          2, "otalgia, secreción purulenta, oído tapado"               , "['otalgia', 'secreción purulenta', 'sensación de oído tapado']"  ,  8.63256567     ,                  2
Me duele mucho el oído derecho y he notado algo de pus saliendo.                             , Otitis media aguda      , Síntomas compatibles con Otitis media aguda            ,          3, "otalgia, secreción purulenta, oído tapado"               , "['otalgia', 'secreción purulenta', 'sensación de oído tapado']"  ,  4.2235768324   ,                  1
Me duele mucho el oído derecho y he notado algo de pus saliendo.                             , Otitis media aguda      , Sospecha de Otitis media aguda                         ,          2, "otalgia, secreción purulenta, oído tapado"               , "['otalgia', 'secreción purulenta', 'sensación de oído tapado']"  ,  2.91000234234  ,                  0
"Tengo dolor abdominal intenso, vómitos y no puedo expulsar gases ni heces."                 , Obstrucción intestinal  , Sospecha de Obstrucción intestinal                     ,          3, "dolor abdominal, vómitos, ausencia de evacuación"        , "['dolor abdominal', 'vómitos', 'ausencia de evacuación']"        , 14.112303       ,                  3
"Tengo dolor abdominal intenso, vómitos y no puedo expulsar gases ni heces."                 , Obstrucción intestinal  , Posiblemente Obstrucción intestinal                    ,          5, "dolor abdominal, vómitos, ausencia de evacuación"        , "['dolor abdominal', 'vómitos', 'ausencia de evacuación']"        ,  6.153534       ,                  1
"Tengo dolor abdominal intenso, vómitos y no puedo expulsar gases ni heces."                 , Obstrucción intestinal  , "Obstrucción intestinal leve, pero requiere evaluación",          0, "dolor abdominal, vómitos, ausencia de evacuación"        , "['dolor abdominal', 'vómitos', 'ausencia de evacuación']"        ,  3.63253643575  ,                  0
"Desde hace meses me siento muy cansado, tengo palidez y me falta el aire al hacer esfuerzo.", Anemia ferropénica      , Anemia ferropénica o condición similar                 ,          0, "fatiga, palidez, disnea de esfuerzo"                     , "['fatiga', 'palidez', 'disnea de esfuerzo']"                     , 11.35325324565  ,                  3
"Desde hace meses me siento muy cansado, tengo palidez y me falta el aire al hacer esfuerzo.", Anemia ferropénica      , Sospecha de Anemia ferropénica                         ,          4, "fatiga, palidez, disnea de esfuerzo"                     , "['fatiga', 'palidez', 'disnea de esfuerzo']"                     ,  8.71100938     ,                  2
"Desde hace meses me siento muy cansado, tengo palidez y me falta el aire al hacer esfuerzo.", Anemia ferropénica      , Puede tratarse de Anemia ferropénica leve              ,          5, "fatiga, palidez, disnea de esfuerzo"                     , "['fatiga', 'palidez', 'disnea de esfuerzo']"                     ,  5.112358867    ,                  1
"Desde hace meses me siento muy cansado, tengo palidez y me falta el aire al hacer esfuerzo.", Anemia ferropénica      , Posiblemente Anemia ferropénica                        ,          3, "fatiga, palidez, disnea de esfuerzo"                     , "['fatiga', 'palidez', 'disnea de esfuerzo']"                     ,  2.4120093      ,                  0
Siento ardor al orinar y tengo que ir al baño muy seguido.                                   , Infección urinaria      , Síntomas compatibles con Infección urinaria            ,          0, "disuria, polaquiuria, urgencia urinaria"                 , "['disuria', 'polaquiuria', 'urgencia urinaria']"                 ,  9.32576522205  ,                  3
Siento ardor al orinar y tengo que ir al baño muy seguido.                                   , Infección urinaria      , "Infección urinaria leve, pero requiere evaluación"    ,          5, "disuria, polaquiuria, urgencia urinaria"                 , "['disuria', 'polaquiuria', 'urgencia urinaria']"                 ,  7.22990234     ,                  2
Siento ardor al orinar y tengo que ir al baño muy seguido.                                   , Infección urinaria      , Posiblemente Infección urinaria                        ,          3, "disuria, polaquiuria, urgencia urinaria"                 , "['disuria', 'polaquiuria', 'urgencia urinaria']"                 ,  4.87902384345  ,                  1
Siento ardor al orinar y tengo que ir al baño muy seguido.                                   , Infección urinaria      , Infección urinaria o condición similar                 ,          3, "disuria, polaquiuria, urgencia urinaria"                 , "['disuria', 'polaquiuria', 'urgencia urinaria']"                 ,  2.16871238     ,                  0
"Tengo dolor de garganta, fiebre leve y dificultad para tragar."                             , Faringitis              , Faringitis o condición similar                         ,          2, "odinofagia, fiebre, inflamación faríngea"                , "['odinofagia', 'fiebre', 'inflamación faríngea']"                , 10.239768       ,                  3
"Tengo dolor de garganta, fiebre leve y dificultad para tragar."                             , Faringitis              , "Faringitis leve, pero requiere evaluación"            ,          5, "odinofagia, fiebre, inflamación faríngea"                , "['odinofagia', 'fiebre', 'inflamación faríngea']"                ,  6.9387102445   ,                  2
"Tengo dolor de garganta, fiebre leve y dificultad para tragar."                             , Faringitis              , Posiblemente Faringitis                                ,          0, "odinofagia, fiebre, inflamación faríngea"                , "['odinofagia', 'fiebre', 'inflamación faríngea']"                ,  4.1982302352934,                  1
"Tengo dolor de garganta, fiebre leve y dificultad para tragar."                             , Faringitis              , Puede tratarse de Faringitis leve                      ,          4, "odinofagia, fiebre, inflamación faríngea"                , "['odinofagia', 'fiebre', 'inflamación faríngea']"                ,  2.0875         ,                  0
Me despierto tosiendo por la noche y siento opresión en el pecho.                            , Asma                    , Posiblemente Asma                                      ,          2, "tos nocturna, opresión torácica, dificultad respiratoria", "['tos nocturna', 'opresión torácica', 'dificultad respiratoria']",  7.3726050027922,                  2
Me despierto tosiendo por la noche y siento opresión en el pecho.                            , Asma                    , Asma o condición similar                               ,          5, "tos nocturna, opresión torácica, dificultad respiratoria", "['tos nocturna', 'opresión torácica', 'dificultad respiratoria']",  5.06547624     ,                  1
Me despierto tosiendo por la noche y siento opresión en el pecho.                            , Asma                    , Sospecha de Asma                                       ,          3, "tos nocturna, opresión torácica, dificultad respiratoria", "['tos nocturna', 'opresión torácica', 'dificultad respiratoria']",  2.723498647    ,                  0
